seed,nfe,forward_process,predictor_type,corrector_type,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,avg_run_length,error_rate
1,16,CosineSchedule,md4,gibbs,8,4,0.01,False,,7.884687,0.0015826768
2,16,CosineSchedule,md4,gibbs,8,4,0.01,False,,7.9666395,0.0016850389
3,16,CosineSchedule,md4,gibbs,8,4,0.01,False,,8.014526,0.0018740152
4,16,CosineSchedule,md4,gibbs,8,4,0.01,False,,8.00901,0.0014881886
0,16,CosineSchedule,md4,gibbs,8,4,0.1,False,,8.010012,0.0015275587
1,16,CosineSchedule,md4,gibbs,8,4,0.1,False,,7.8759537,0.0015511807
2,16,CosineSchedule,md4,gibbs,8,4,0.1,False,,8.011015,0.0017874009
3,16,CosineSchedule,md4,gibbs,8,4,0.1,False,,7.9900126,0.0019133852
4,16,CosineSchedule,md4,gibbs,8,4,0.1,False,,8.003502,0.0015984246
0,16,CosineSchedule,md4,gibbs,8,4,0.5,False,,7.966143,0.0014094485
1,16,CosineSchedule,md4,gibbs,8,4,0.5,False,,8.0,0.0014251965
2,16,CosineSchedule,md4,gibbs,8,4,0.5,False,,7.95278,0.0015590546
3,16,CosineSchedule,md4,gibbs,8,4,0.5,False,,8.034145,0.0014724405
4,16,CosineSchedule,md4,gibbs,8,4,0.5,False,,8.069092,0.0014803145
0,16,CosineSchedule,md4,gibbs,8,4,1.0,False,,8.047784,0.0010472438
1,16,CosineSchedule,md4,gibbs,8,4,1.0,False,,7.9370003,0.0009527556
2,16,CosineSchedule,md4,gibbs,8,4,1.0,False,,7.9478416,0.001173228
3,16,CosineSchedule,md4,gibbs,8,4,1.0,False,,8.047278,0.0010787398
4,16,CosineSchedule,md4,gibbs,8,4,1.0,False,,8.059946,0.0010708658
0,16,CosineSchedule,md4,gibbs,8,4,2.0,False,,7.808211,0.0008740155
1,16,CosineSchedule,md4,gibbs,8,4,2.0,False,,7.739283,0.0008031495
2,16,CosineSchedule,md4,gibbs,8,4,2.0,False,,7.7632213,0.0008661415
3,16,CosineSchedule,md4,gibbs,8,4,2.0,False,,7.859029,0.0008031494
4,16,CosineSchedule,md4,gibbs,8,4,2.0,False,,7.8585463,0.0007952754
0,16,CosineSchedule,md4,gibbs,8,4,4.0,False,,7.3992715,0.00074015727
