seed,nfe,forward_process,predictor_type,corrector_type,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,avg_run_length,error_rate
2,16,CosineSchedule,md4,gibbs,8,2.0,4.0,True,,5.996439,0.021559063
3,16,CosineSchedule,md4,gibbs,8,2.0,4.0,True,,6.0096717,0.020803152
4,16,CosineSchedule,md4,gibbs,8,2.0,4.0,True,,5.9196224,0.02140945
0,16,CosineSchedule,md4,gibbs,8,4.0,0.0,True,,6.307594,0.023385826
1,16,CosineSchedule,md4,gibbs,8,4.0,0.0,True,,6.231743,0.023023624
2,16,CosineSchedule,md4,gibbs,8,4.0,0.0,True,,6.203053,0.024196852
3,16,CosineSchedule,md4,gibbs,8,4.0,0.0,True,,6.3611965,0.02248819
4,16,CosineSchedule,md4,gibbs,8,4.0,0.0,True,,6.2196307,0.023937011
0,16,CosineSchedule,md4,gibbs,8,4.0,0.1,True,,6.0414405,0.02699213
1,16,CosineSchedule,md4,gibbs,8,4.0,0.1,True,,5.9095106,0.028188977
2,16,CosineSchedule,md4,gibbs,8,4.0,0.1,True,,5.986064,0.028181102
3,16,CosineSchedule,md4,gibbs,8,4.0,0.1,True,,6.0845175,0.027047245
4,16,CosineSchedule,md4,gibbs,8,4.0,0.1,True,,6.0150375,0.027598424
0,16,CosineSchedule,md4,gibbs,8,4.0,0.5,True,,5.986624,0.027259845
1,16,CosineSchedule,md4,gibbs,8,4.0,0.5,True,,5.934443,0.028007869
2,16,CosineSchedule,md4,gibbs,8,4.0,0.5,True,,5.937471,0.028685039
3,16,CosineSchedule,md4,gibbs,8,4.0,0.5,True,,6.093207,0.026716534
4,16,CosineSchedule,md4,gibbs,8,4.0,0.5,True,,5.9846644,0.028
0,16,CosineSchedule,md4,gibbs,8,4.0,1.0,True,,6.0608926,0.026889764
1,16,CosineSchedule,md4,gibbs,8,4.0,1.0,True,,5.9899855,0.027251974
2,16,CosineSchedule,md4,gibbs,8,4.0,1.0,True,,5.916066,0.028456695
3,16,CosineSchedule,md4,gibbs,8,4.0,1.0,True,,6.0946574,0.02677953
4,16,CosineSchedule,md4,gibbs,8,4.0,1.0,True,,6.0040336,0.027771657
0,16,CosineSchedule,md4,gibbs,8,4.0,2.0,True,,5.988865,0.027566928
1,16,CosineSchedule,md4,gibbs,8,4.0,2.0,True,,5.974329,0.027338581
2,16,CosineSchedule,md4,gibbs,8,4.0,2.0,True,,5.8864107,0.028055117
3,16,CosineSchedule,md4,gibbs,8,4.0,2.0,True,,6.0272164,0.027149612
4,16,CosineSchedule,md4,gibbs,8,4.0,2.0,True,,6.052009,0.0267874
0,16,CosineSchedule,md4,gibbs,8,4.0,4.0,True,,5.9095106,0.028015755
1,16,CosineSchedule,md4,gibbs,8,4.0,4.0,True,,5.831435,0.028015753
2,16,CosineSchedule,md4,gibbs,8,4.0,4.0,True,,5.8629537,0.027551185
3,16,CosineSchedule,md4,gibbs,8,4.0,4.0,True,,5.94464,0.027165351
4,16,CosineSchedule,md4,gibbs,8,4.0,4.0,True,,5.933068,0.027204724
0,16,CosineSchedule,md4,gibbs,8,8.0,0.0,True,,5.15817,0.03580315
1,16,CosineSchedule,md4,gibbs,8,8.0,0.0,True,,5.1134543,0.035314955
2,16,CosineSchedule,md4,gibbs,8,8.0,0.0,True,,5.204733,0.03471653
3,16,CosineSchedule,md4,gibbs,8,8.0,0.0,True,,5.286635,0.033503935
4,16,CosineSchedule,md4,gibbs,8,8.0,0.0,True,,5.205368,0.034496065
0,16,CosineSchedule,md4,gibbs,8,8.0,0.1,True,,5.187016,0.034897637
1,16,CosineSchedule,md4,gibbs,8,8.0,0.1,True,,5.1354065,0.035385825
