seed,nfe,forward_process,predictor_type,corrector_type,num_steps,gibbs_k,gibbs_temperature,anneal_temperature,maskgit_temperature,corrector_step_size,avg_run_length,error_rate
2,128,CosineSchedule,md4,forward_backward,64,,,False,,2.0,8.553863,0.0014251965
3,128,CosineSchedule,md4,forward_backward,64,,,False,,2.0,8.512336,0.001795275
4,128,CosineSchedule,md4,forward_backward,64,,,False,,2.0,8.48919,0.001787401
0,128,CosineSchedule,md4,forward_backward,64,,,False,,3.0,8.134214,0.0020866136
1,128,CosineSchedule,md4,forward_backward,64,,,False,,3.0,8.1378355,0.0019133853
2,128,CosineSchedule,md4,forward_backward,64,,,False,,3.0,8.094605,0.0019999994
3,128,CosineSchedule,md4,forward_backward,64,,,False,,3.0,8.078768,0.0022204716
4,128,CosineSchedule,md4,forward_backward,64,,,False,,3.0,8.067058,0.002299212
0,128,CosineSchedule,md4,forward_backward,64,,,False,,4.0,7.843137,0.002456692
1,128,CosineSchedule,md4,forward_backward,64,,,False,,4.0,7.7458396,0.0024645664
2,128,CosineSchedule,md4,forward_backward,64,,,False,,4.0,7.825396,0.0025196841
3,128,CosineSchedule,md4,forward_backward,64,,,False,,4.0,7.9537687,0.0024881882
4,128,CosineSchedule,md4,forward_backward,64,,,False,,4.0,7.8919783,0.0023385822
0,128,CosineSchedule,md4,forward_backward,64,,,False,,5.0,7.5373926,0.0031102353
1,128,CosineSchedule,md4,forward_backward,64,,,False,,5.0,7.481443,0.0031259833
2,128,CosineSchedule,md4,forward_backward,64,,,False,,5.0,7.5757575,0.0033543298
3,128,CosineSchedule,md4,forward_backward,64,,,False,,5.0,7.5668006,0.002826771
4,128,CosineSchedule,md4,forward_backward,64,,,False,,5.0,7.511737,0.0032677157
0,16,LinearSchedule,md4,forward_backward,8,,,False,,0.01,2.4801395,0.13259842
1,16,LinearSchedule,md4,forward_backward,8,,,False,,0.01,2.4616332,0.13365355
2,16,LinearSchedule,md4,forward_backward,8,,,False,,0.01,2.4704225,0.13243309
3,16,LinearSchedule,md4,forward_backward,8,,,False,,0.01,2.4822078,0.13370866
4,16,LinearSchedule,md4,forward_backward,8,,,False,,0.01,2.4620118,0.1323937
0,16,LinearSchedule,md4,forward_backward,8,,,False,,0.1,2.5670338,0.12823622
1,16,LinearSchedule,md4,forward_backward,8,,,False,,0.1,2.5509696,0.13020474
2,16,LinearSchedule,md4,forward_backward,8,,,False,,0.1,2.5395315,0.12932284
3,16,LinearSchedule,md4,forward_backward,8,,,False,,0.1,2.569301,0.12893702
4,16,LinearSchedule,md4,forward_backward,8,,,False,,0.1,2.54772,0.12735432
0,16,LinearSchedule,md4,forward_backward,8,,,False,,0.5,2.6268265,0.12860632
1,16,LinearSchedule,md4,forward_backward,8,,,False,,0.5,2.6341786,0.12823623
2,16,LinearSchedule,md4,forward_backward,8,,,False,,0.5,2.6314166,0.1293937
3,16,LinearSchedule,md4,forward_backward,8,,,False,,0.5,2.6289847,0.12709449
4,16,LinearSchedule,md4,forward_backward,8,,,False,,0.5,2.6353173,0.1270394
0,16,LinearSchedule,md4,forward_backward,8,,,False,,1.0,2.4589376,0.14609449
